Serial-number,Stations,Category,Transmitter,Fequency,Studio,Lat,Lng
238,SOLAPUR,LRS,10 KW FM,103.4 Mhz,MP,17.6599188,75.9063906
239,YAVATMAL,LRS,6 KW FM,102.7 Mhz,MP,20.3887937,78.1204073
240,ORAS (Sindhdurganagari),,5 KW FM,103.60 Mhz,Playback with Voiceover recording & field,25.8943018,68.5247149
241,BULDHANA,LPT RELAY,100 W FM,100.1MHz,,20.5292147,76.1841701
242,WARDHA,LPT RELAY,100 W FM,100.1MHz,,20.745319,78.6021946
243,GONDIA,LPT RELAY,100 W FM,100.1MHz,,21.4624491,80.2209773
244,JALNA,LPT RELAY,100 W FM,100.1MHz,,19.8296893,75.8800305
245,MALEGAON,LPT RELAY,100 W FM,100.1MHz,,20.5547497,74.5100291
246,BRAHMPURI,LPT RELAY,100 W FM,100.1MHz,,28.6840231,77.2655077
247,AMRAVATI,,10 KW FM VB,101.5 MHz,Playback with Voiceover recording & field,20.9374238,77.7795513
248,IMPHAL,,300 KW MW,882 khz,TYPE III Uplink News on Phone RNU,24.8170111,93.9368439
249,CHURACHANDPUR,LRS,6 kW FM,101.4 Mhz,MP,24.2993576,93.2583626
250,SENAPATI,LPT RELAY,100 W FM,100.1 Mhz,,25.3203312,94.1513764
251,KANGPOKPI,LPT RELAY,100 W FM,100.1 Mhz,,25.1519197,93.969963
252,PARBUNG,LPT RELAY,100 W FM,100.1 Mhz,,24.251329,93.1058477
253,MOREH,LPT RELAY,100 W FM,100.1 Mhz,,24.251281,94.3013043
254,CHANDEL,LPT RELAY,100 W FM,100.1 Mhz,,24.1827492,94.1513764
255,JOWAI,LRS,6 KW FM,101.1 Mhz,MP,25.450902,92.2089109
256,NONGSTOIN,CRS,1 kW MW,1485 khz,MP,25.5213094,91.2554112
257,SHILLONG,,100 KW MW,864 khz,TYPE II  UPLINK RNU,25.5787726,91.8932535
258,TURA,,20 kW MW,1233 khz,TYPE I,25.5140712,90.2032141
259,WILLIAMNAGAR,CRS,1 kW MW,1602 khz,MP,25.5313902,90.5920027
260,CHERRAPUNJI,RELAY,100 W FM,100.1 MHz,,25.2716565,91.7308033
261,AIJAWL,,20 kW MW,540 khz,TYPE II  UPLINK RNU,23.727107,92.7176389
262,LUNGLEH,,6 KW FM,101.9 Mhz,MP,22.8670691,92.7655358
263,SAIHA,CRS,1 kW MW,1602 khz,,22.489734,92.979269
264,RENGDIL,RELAY,100 W FM,100.1 Mhz,,24.073374,92.3875331
265,LAISAWRAI,RELAY,100 W FM,100.1 Mhz,MP,23.2661624,92.4764887
266,LAWNGTLAI,LPT RELAY,100 W FM,100.1 Mhz,,22.311443,92.6983868
267,KOHIMA,,100 KW MW,639 khz,TYPE III UPLINK RNU,25.6585963,94.1053307
